week,player_id,name,position,team_abbrev,tier,espn_projection,yahoo_projection,matchup_factor,projection_confidence
1,1000,Lamar Jackson,QB,KC,starter,23.8,24.0,0.93,0.8232973203500057
1,1001,Jalen Hurts,QB,KC,backup,8.5,9.0,0.91,0.7187537843887198
1,1002,Joe Mixon,RB,KC,starter,26.7,26.4,1.05,0.7049195417707612
1,1003,Marcus McCaffrey,RB,KC,rb2,8.9,8.9,0.97,0.8024462217876853
1,1004,Brandon Mixon,RB,KC,depth,6.1,6.3,0.85,0.8259773444368742
1,1005,Keenan Allen,WR,KC,starter,13.1,14.1,1.09,0.892820393777551
1,1006,DeAndre Hopkins,WR,KC,wr2,11.7,12.4,0.8,0.6662568879759226
1,1007,DeShawn Lamb,WR,KC,depth,5.3,5.5,1.05,0.7924148709169732
1,1008,Keenan Allen,WR,KC,depth,5.3,5.6,0.81,0.7207696778643081
1,1009,Marcus Adams,WR,KC,depth,4.7,4.3,1.07,0.8087877097666624
1,1010,A.J. Brown,WR,KC,depth,7.7,7.3,1.08,0.6997690666256253
1,1011,Dallas Goedert,TE,KC,starter,6.2,5.8,0.81,0.7557596183881096
1,1012,Jordan Njoku,TE,KC,backup,2.5,2.4,1.11,0.8071425783691403
1,1013,Aaron Rodgers,QB,PHI,starter,27.0,27.3,1.1,0.6284477569253649
1,1014,Aaron Rodgers,QB,PHI,backup,22.1,21.1,1.07,0.8896801107723915
1,1015,Josh Allen III,QB,PHI,backup,11.2,12.0,1.02,0.9310432102935652
1,1016,Nick Chubb,RB,PHI,starter,18.6,20.2,1.18,0.694995143465388
1,1017,Aaron Jones,RB,PHI,rb2,14.2,15.6,1.04,0.7881090450984349
1,1018,Jonathan Taylor,RB,PHI,depth,5.5,5.5,1.16,0.840574048639197
1,1019,Dalvin Cook,RB,PHI,depth,4.5,4.2,1.14,0.7294144163739258
1,1020,DK Metcalf,WR,PHI,starter,16.6,17.2,1.13,0.8843279825294947
1,1021,Stefon Diggs,WR,PHI,wr2,6.4,6.6,0.9,0.7669299140847493
1,1022,Michael Diggs,WR,PHI,depth,5.7,6.1,1.2,0.7277183800382563
1,1023,Davante Adams,WR,PHI,depth,7.0,7.7,1.01,0.6791294684836194
1,1024,Tyreek Hill,WR,PHI,depth,5.9,6.2,0.98,0.76443767353107
1,1025,DK Metcalf,WR,PHI,depth,8.0,8.2,1.12,0.921059632325467
1,1026,Davante Adams Sr.,WR,PHI,depth,7.7,7.2,1.12,0.6999966776593579
1,1027,Travis Kelce,TE,PHI,starter,11.9,11.6,1.07,0.601897833284996
1,1028,Brandon Kittle,TE,PHI,backup,4.0,4.1,1.17,0.7807079007859092
1,1029,Tyler Andrews,TE,PHI,backup,3.6,4.0,0.87,0.7924566140600272
1,1030,Tua Tagovailoa,QB,BUF,starter,27.4,27.9,1.19,0.633395064944457
1,1031,Brandon Hurts,QB,BUF,backup,12.7,12.4,1.17,0.7785761153504641
1,1032,Tua Tagovailoa,QB,BUF,backup,15.9,15.6,1.13,0.70264805973513
1,1033,Aaron Jones,RB,BUF,starter,13.6,14.6,0.94,0.8910633549713141
1,1034,Nick Chubb III,RB,BUF,rb2,9.7,10.3,1.03,0.6144068534815094
1,1035,Aaron Jones Jr.,RB,BUF,depth,4.9,4.7,0.84,0.9409738681053265
1,1036,Tyreek Hill,WR,BUF,starter,11.1,10.1,0.9,0.6081013686521466
1,1037,Keenan Allen,WR,BUF,wr2,12.6,11.4,1.18,0.7409774189693062
1,1038,Michael Adams,WR,BUF,depth,6.3,6.5,1.09,0.7652310000817114
1,1039,DeAndre Hopkins II,WR,BUF,depth,6.9,6.8,1.08,0.9095076186422657
1,1040,Keenan Allen,WR,BUF,depth,5.1,5.3,0.88,0.7538916193593662
1,1041,Brandon Metcalf,WR,BUF,depth,7.7,8.0,0.9,0.9399094745595834
1,1042,T.J. Hockenson,TE,BUF,starter,9.3,8.5,1.11,0.6262772448922667
1,1043,David Njoku,TE,BUF,backup,3.9,4.0,0.94,0.705792284027006
1,1044,Kyle Pitts Jr.,TE,BUF,backup,3.2,2.9,0.83,0.8734625630901106
1,1045,Josh Allen,QB,DAL,starter,22.9,24.6,1.19,0.9147162516684428
1,1046,Jalen Hurts,QB,DAL,backup,11.9,12.9,0.85,0.7505196025564207
1,1047,Justin Herbert,QB,DAL,backup,14.0,13.5,1.0,0.7685778860241542
1,1048,Christian McCaffrey,RB,DAL,starter,15.0,15.1,1.08,0.6159532287914391
1,1049,Saquon Barkley,RB,DAL,rb2,9.8,8.9,0.93,0.7053103170778132
1,1050,Jonathan Taylor,RB,DAL,depth,3.0,3.2,0.82,0.6099088666544523
1,1051,Tyreek Hill,WR,DAL,starter,12.0,11.9,0.9,0.8297767387079307
1,1052,CeeDee Lamb,WR,DAL,wr2,12.5,13.4,1.15,0.7384441814207865
1,1053,Stefon Diggs,WR,DAL,depth,2.9,2.6,0.88,0.9041546130971689
1,1054,A.J. Brown,WR,DAL,depth,6.3,5.8,0.84,0.743358293901724
1,1055,Jordan Diggs,WR,DAL,depth,8.5,7.9,1.14,0.8928486739372752
1,1056,Marcus Brown,WR,DAL,depth,4.1,3.9,1.16,0.9339985335721285
1,1057,Kyle Pitts,TE,DAL,starter,10.1,10.7,0.96,0.7317408593915109
1,1058,Dallas Goedert,TE,DAL,backup,4.4,4.1,0.86,0.9115692910281251
1,1059,Jalen Hurts,QB,SF,starter,20.4,18.9,0.85,0.8759480809482276
1,1060,Tua Tagovailoa,QB,SF,backup,7.8,7.6,0.97,0.7117422125138364
1,1061,Derrick Henry,RB,SF,starter,22.8,22.3,1.16,0.654107718336374
1,1062,Austin Ekeler,RB,SF,rb2,10.1,9.6,0.87,0.8552416767384873
1,1063,Aaron Jones,RB,SF,depth,7.7,7.1,0.98,0.7066912083017665
1,1064,Michael Taylor,RB,SF,depth,5.6,5.7,1.05,0.7058662504126094
