week,player_id,name,position,team_abbrev,tier,espn_projection,actual_points,beat_projection,outperformance_pct,is_home,spread,over_under,weather,dome,game_type,projected_game_script,high_scoring_game,weather_impact
1,1000,Lamar Jackson,QB,KC,starter,23.8,21.7,False,-9.0,False,6.5,38.5,None,False,conference,positive,False,False
1,1001,Jalen Hurts,QB,KC,backup,8.5,5.7,False,-32.7,False,6.5,38.5,None,False,conference,positive,False,False
1,1002,Joe Mixon,RB,KC,starter,26.7,34.6,True,29.5,False,6.5,38.5,None,False,conference,positive,False,False
1,1003,Marcus McCaffrey,RB,KC,rb2,8.9,10.0,False,12.7,False,6.5,38.5,None,False,conference,positive,False,False
1,1004,Brandon Mixon,RB,KC,depth,6.1,5.7,False,-6.7,False,6.5,38.5,None,False,conference,positive,False,False
1,1005,Keenan Allen,WR,KC,starter,13.1,24.1,True,83.9,False,6.5,38.5,None,False,conference,positive,False,False
1,1006,DeAndre Hopkins,WR,KC,wr2,11.7,4.9,False,-58.4,False,6.5,38.5,None,False,conference,positive,False,False
1,1007,DeShawn Lamb,WR,KC,depth,5.3,1.1,False,-78.3,False,6.5,38.5,None,False,conference,positive,False,False
1,1008,Keenan Allen,WR,KC,depth,5.3,4.1,False,-22.4,False,6.5,38.5,None,False,conference,positive,False,False
1,1009,Marcus Adams,WR,KC,depth,4.7,3.5,False,-25.8,False,6.5,38.5,None,False,conference,positive,False,False
1,1010,A.J. Brown,WR,KC,depth,7.7,4.2,False,-45.6,False,6.5,38.5,None,False,conference,positive,False,False
1,1011,Dallas Goedert,TE,KC,starter,6.2,6.9,False,11.2,False,6.5,38.5,None,False,conference,positive,False,False
1,1012,Jordan Njoku,TE,KC,backup,2.5,1.7,False,-33.1,False,6.5,38.5,None,False,conference,positive,False,False
1,1013,Aaron Rodgers,QB,PHI,starter,27.0,25.8,False,-4.5,True,12.6,50.7,Wind,True,interconference,positive,True,True
1,1014,Aaron Rodgers,QB,PHI,backup,22.1,12.8,False,-42.1,True,12.6,50.7,Wind,True,interconference,positive,True,True
1,1015,Josh Allen III,QB,PHI,backup,11.2,6.0,False,-46.4,True,12.6,50.7,Wind,True,interconference,positive,True,True
1,1016,Nick Chubb,RB,PHI,starter,18.6,16.0,False,-14.1,True,12.6,50.7,Wind,True,interconference,positive,True,True
1,1017,Aaron Jones,RB,PHI,rb2,14.2,12.5,False,-11.7,True,12.6,50.7,Wind,True,interconference,positive,True,True
1,1018,Jonathan Taylor,RB,PHI,depth,5.5,5.2,False,-4.9,True,12.6,50.7,Wind,True,interconference,positive,True,True
